,tags
28,PROPN NOUN PUNCT PUNCT VERB ADP NOUN NOUN PART VERB VERB NOUN PRON AUX VERB DET NOUN ADP DET ADJ CCONJ ADJ PUNCT NOUN NOUN ADP NOUN NOUN PUNCT
29,DET NOUN VERB DET NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN PUNCT DET PROPN PROPN PROPN PART PROPN PUNCT DET PROPN CCONJ PROPN NOUN NOUN PUNCT PROPN PROPN CCONJ DET PROPN PROPN PROPN PUNCT
30,PROPN PROPN PROPN PROPN VERB NOUN ADP NOUN ADP PRON NOUN PUNCT PROPN PROPN PROPN PUNCT ADP PROPN PROPN PROPN PROPN PUNCT
31,PRON NOUN VERB ADJ NOUN PUNCT
32,DET NOUN AUX VERB PROPN NUM PUNCT NUM PUNCT
33,PRON VERB DET NOUN PUNCT PROPN PROPN PROPN PUNCT CCONJ DET NOUN PUNCT PROPN PROPN PROPN PROPN ADP PROPN PUNCT
34,NOUN ADP DET NOUN VERB SCONJ DET ADJ NOUN NOUN AUX AUX VERB SCONJ PUNCT
35,DET NOUN VERB DET NOUN PART NOUN ADP PUNCT PUNCT NOUN PUNCT CCONJ PRON NOUN ADP NUM PUNCT
36,PRON VERB PRON NOUN PART NOUN ADP NUM CCONJ NOUN ADP NOUN ADP PROPN PUNCT PROPN PUNCT
37,DET NOUN VERB SCONJ DET NOUN AUX PART VERB ADV ADP NOUN CCONJ NOUN ADP ADJ ADP PRON NOUN PUNCT
38,DET PROPN NOUN AUX ADP NUM PROPN PROPN PROPN PUNCT PROPN PUNCT
39,PROPN PROPN PROPN AUX VERB ADP DET NOUN ADP DET NOUN PART NOUN PUNCT
40,PROPN AUX AUX NOUN ADP PROPN PUNCT ADP NOUN ADP NUM ADJ NOUN PUNCT SCONJ NUM PUNCT
41,PRON ADJ NOUN VERB ADV ADP PRON NOUN ADP NOUN NOUN ADP NUM PUNCT
42,DET NOUN PART ADJ NOUN ADP NOUN VERB PROPN NUM PUNCT
43,PRON AUX AUX VERB ADP PROPN PROPN PROPN PUNCT PRON VERB DET NOUN ADP DET PROPN NUM NOUN SCONJ PROPN PROPN VERB SCONJ PRON AUX PART VERB ADP NOUN PUNCT
44,PROPN PROPN AUX VERB ADJ NOUN PART VERB DET NOUN ADP DET NUM NOUN PART NOUN PUNCT DET ADJ NOUN VERB PROPN PUNCT
45,PROPN PROPN PUNCT NOUN PROPN NOUN PUNCT VERB DET NOUN VERB PROPN NOUN ADP PROPN PROPN VERB ADJ NOUN ADP DET NOUN PUNCT
46,PROPN PROPN PROPN PROPN PROPN PROPN VERB SCONJ NOUN AUX VERB ADP ADP DET NOUN NOUN PART AUX VERB PROPN NUM ADP PROPN ADP PRON ADV VERB PROPN PROPN PROPN PROPN AUX AUX DET ADJ NOUN PUNCT
47,ADP DET PROPN PROPN NOUN PUNCT DET NOUN AUX VERB SCONJ VERB DET NOUN ADP NOUN AUX VERB PRON PART VERB NOUN ADP ADP NOUN NOUN PART VERB DET NOUN ADP VERB NOUN PUNCT
48,SCONJ DET NOUN PUNCT PRON VERB DET ADJ NOUN PART VERB DET NOUN PUNCT VERB ADP PROPN PRON VERB PUNCT
49,SCONJ DET NOUN AUX VERB SCONJ PRON VERB PART VERB NUM ADJ NOUN PART VERB DET NOUN PUNCT PRON VERB INTJ PUNCT CCONJ PRON VERB DET NOUN PUNCT
50,DET ADJ NOUN DET PROPN AUX VERB PART VERB AUX DET NOUN NOUN PRON VERB SCONJ ADP VERB DET ADJ NOUN PUNCT NUM ADP NUM ADJ NOUN AUX AUX VERB PUNCT NUM
51,NUM ADP NOUN ADP DET NOUN ADP DET NOUN AUX VERB NOUN VERB SCONJ DET PROPN AUX VERB PART VERB NOUN ADP NOUN ADP DET ADJ NOUN NOUN PUNCT CCONJ NUM
52,DET PROPN AUX VERB DET NOUN ADP DET NOUN NOUN NOUN PUNCT DET NOUN PRON DET NOUN VERB ADP PRON NOUN PUNCT
53,PROPN PROPN PUNCT PROPN PROPN PROPN ADJ NOUN NOUN PUNCT VERB PROPN PART VERB ADP PROPN PROPN PROPN PROPN PROPN PART NOUN PUNCT
54,PROPN PART NOUN AUX AUX VERB ADP DET NOUN PUNCT
55,PRON AUX AUX VERB ADP PROPN PROPN ADP PROPN PUNCT PRON AUX AUX DET NOUN ADJ ADP NUM NOUN PUNCT
56,SCONJ DET ADJ NOUN VERB PUNCT PROPN AUX VERB PART VERB DET NOUN NOUN ADP PROPN PUNCT
57,DET PROPN PROPN AUX VERB ADP PRON NUM NOUN PROPN CCONJ NOUN ADP NOUN PUNCT SCONJ PRON ADP DET NOUN NOUN NOUN PRON VERB AUX VERB ADV PUNCT
58,ADP NOUN PROPN NOUN PUNCT DET PROPN AUX VERB PART VERB DET NOUN ADP DET NOUN ADP NOUN VERB ADP ADJ CCONJ ADJ NOUN PART VERB DET NOUN AUX AUX VERB PUNCT
59,PROPN PROPN AUX VERB PART VERB DET ADJ NOUN ADP DET NOUN SCONJ PRON VERB ADP NOUN PUNCT
60,NOUN ADV AUX VERB DET SYM NUM NUM NOUN NOUN NOUN VERB ADV ADP DET NOUN ADP PRON ADJ NOUN NOUN PUNCT
61,NOUN NOUN
62,ADV PUNCT PRON AUX VERB DET PROPN PROPN PROPN AUX ADV ADP AUX ADJ PART VERB DET ADJ SYM NUM NUM NOUN ADP NOUN NOUN NOUN PUNCT
63,DET NOUN NOUN AUX VERB ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN PART VERB DET NOUN ADP DET NOUN PUNCT CCONJ ADV DET NOUN AUX VERB CCONJ NOUN VERB ADP NOUN NOUN ADP PRON ADP PROPN PART ADV ADV VERB NOUN PUNCT
64,DET PROPN PROPN NOUN VERB PRON ADV AUX DET NOUN ADV PART VERB DET SYM NUM NUM PART SYM NUM NUM NOUN ADP PROPN PROPN PROPN NOUN ADP ADJ NOUN NOUN NOUN PUNCT
65,DET ADJ NOUN
66,DET NOUN ADV VERB PART VERB DET PROPN PROPN PROPN DET ADJ NOUN ADP PRON ADJ NOUN AUX AUX VERB DET NOUN DET NOUN ADP DET ADJ NOUN AUX VERB ADP ADP NOUN NOUN PUNCT
67,PROPN VERB PRON NOUN ADP NOUN ADP NUM ADP DET NOUN ADP DET PROPN ADP DET NOUN ADP SYM NUM NUM NOUN ADP ADJ ADJ NOUN NOUN VERB ADP ADV PROPN PROPN PROPN PUNCT
68,DET PROPN PROPN NOUN VERB DET PROPN PUNCT ADV PUNCT SCONJ PROPN AUX PART AUX VERB ADV ADP DET NOUN PART VERB DET ADJ ADJ NOUN NOUN PUNCT
69,PROPN PROPN PROPN PROPN PROPN PROPN AUX VERB DET NOUN PROPN ADP DET PROPN PART VERB DET NOUN PART NOUN ADP PROPN ADP VERB PRON DET SYM NUM ADP NOUN NOUN ADP NOUN NOUN PUNCT
70,PROPN VERB PROPN NOUN PRON VERB NOUN AUX VERB ADP SCONJ DET PUNCT PUNCT NOUN PUNCT NOUN ADP DET NOUN AUX AUX VERB ADV CCONJ SCONJ NOUN AUX VERB PART ADV AUX VERB DET NOUN ADP DET NOUN AUX AUX VERB PUNCT
71,SCONJ VERB SCONJ ADJ NOUN AUX PART ADV VERB ADP PUNCT PROPN VERB PRON NOUN AUX VERB PART VERB ADP DET NOUN NOUN PRON DET PROPN VERB ADP NUM SYM NUM PUNCT
72,DET ADJ NOUN VERB ADP DET PROPN ADP DET NOUN ADP NUM SYM NUM PUNCT
73,ADP ADP PROPN NOUN PUNCT PRON VERB DET NOUN ADP DET NOUN AUX VERB ADV PART VERB DET NOUN PUNCT
74,PROPN VERB ADP SCONJ PROPN NOUN ADJ PROPN VERB DET ADJ NOUN PART VERB NOUN PART VERB ADP NOUN NOUN ADP ADJ PROPN NOUN PUNCT
75,DET NOUN PROPN PROPN NOUN AUX VERB DET PROPN PROPN PROPN PART VERB ADJ NOUN ADP NOUN PUNCT PRON PRON AUX ADV VERB ADP DET NOUN PUNCT
76,PROPN PROPN PROPN ADP PROPN AUX VERB DET PROPN ADP DET NOUN NOUN PART PUNCT PUNCT VERB VERB ADJ NOUN ADP ADJ NOUN PUNCT VERB SCONJ ADJ NOUN AUX VERB CCONJ VERB PUNCT ADP NOUN NOUN PUNCT
77,PROPN PUNCT PRON AUX ADP PRON ADJ NOUN ADP DET NOUN PUNCT VERB PRON PUNCT PUNCT AUX DET NOUN ADP PRON ADJ NOUN ADP PROPN PRON AUX VERB PART VERB PRON PUNCT DET NOUN PUNCT VERB PUNCT PUNCT
78,CCONJ PRON VERB SCONJ NOUN ADP PROPN PART NOUN ADV VERB PRON PART VERB DET NOUN PUNCT
79,DET NOUN PUNCT PRON PROPN VERB ADP DET PROPN NOUN PROPN PUNCT AUX AUX ADV VERB PROPN PUNCT
80,PRON VERB SCONJ PUNCT PUNCT ADP DET NOUN PROPN AUX VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT DET PROPN PROPN ADP PROPN AUX AUX VERB AUX PUNCT PUNCT VERB NOUN PUNCT ADP NOUN NOUN NOUN PUNCT
81,VERB
82,PUNCT ADP DET ADJ PUNCT ADJ NOUN PUNCT PROPN PROPN VERB DET ADJ NOUN NOUN PUNCT VERB PUNCT SCONJ DET NOUN VERB PRON PUNCT ADP DET PUNCT PUNCT ADJ NOUN PRON ADV VERB ADP DET NOUN PUNCT PUNCT
83,DET ADJ NOUN NOUN AUX PROPN PROPN PUNCT DET ADJ NOUN NOUN PUNCT PRON VERB PROPN PROPN PUNCT DET NOUN NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PUNCT
84,PROPN VERB NUM NOUN ADP PROPN PART NOUN PUNCT CCONJ PROPN VERB NUM PUNCT
85,PROPN PROPN PROPN PUNCT VERB ADP DET NOUN PUNCT VERB ADP ADP DET NOUN PART VERB NOUN PUNCT
86,PUNCT PUNCT PRON AUX DET ADJ PUNCT ADJ NOUN PRON ADV VERB PUNCT PUNCT PROPN PROPN PROPN PROPN VERB PUNCT
87,PUNCT PUNCT AUX ADP DET NOUN AUX ADV ADP AUX ADP NOUN PUNCT
88,PRON AUX PART VERB DET NOUN ADP NOUN PUNCT CCONJ PRON AUX PART VERB DET NOUN ADP NOUN PUNCT PUNCT
89,DET NOUN VERB ADP DET NOUN AUX PART ADV ADJ PUNCT ADV PUNCT
90,PRON AUX VERB ADP NOUN PUNCT ADJ NOUN NOUN NOUN CCONJ VERB NOUN ADP NOUN PUNCT
91,DET ADJ NOUN NOUN NOUN PUNCT PROPN PROPN PROPN PUNCT VERB PRON ADP NOUN PROPN NUM PUNCT NUM NOUN SCONJ PRON VERB PRON NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN PUNCT
92,ADP DET NOUN NOUN PUNCT DET NOUN PUNCT PROPN CCONJ PROPN PUNCT ADV VERB ADJ NOUN NOUN PUNCT
93,PROPN PROPN VERB PRON PUNCT ADV PUNCT AUX VERB ADP ADJ NOUN ADV SCONJ PRON VERB DET NOUN PUNCT
94,ADJ ADJ NOUN VERB SCONJ PRON AUX AUX NOUN ADP DET NOUN PUNCT CCONJ PROPN VERB PRON DET NOUN PART VERB DET NOUN CCONJ VERB DET ADJ NOUN PUNCT
95,PROPN PROPN PROPN VERB DET ADJ ADV VERB ADJ PRON NOUN PUNCT
96,PUNCT PUNCT PRON VERB ADJ ADJ PUNCT PUNCT DET NOUN VERB PUNCT
97,PUNCT PUNCT PRON VERB PART DET NOUN ADP NOUN PUNCT PUNCT
98,PROPN PUNCT PROPN
99,PUNCT NOUN NOUN ADP PROPN PROPN PROPN PART PUNCT PUNCT VERB NOUN PUNCT NOUN VERB ADJ PROPN SCONJ DET ADJ NOUN ADP PROPN NOUN PUNCT
100,PROPN ADV VERB DET NOUN ADP DET NOUN PUNCT PRON PRON AUX VERB ADP ADV SCONJ PRON NOUN ADP NUM ADJ PROPN PUNCT ADP DET ADJ NOUN ADP DET PROPN PROPN ADP PROPN CCONJ PROPN PUNCT
101,ADP NOUN NOUN PUNCT PRON VERB ADV ADP DET NOUN ADP NUM NOUN PUNCT
102,CCONJ NOUN ADP PRON NOUN NOUN VERB NOUN VERB ADP NOUN VERB ADJ NOUN SCONJ PRON AUX VERB NOUN ADP PRON PUNCT
103,PROPN VERB PUNCT PUNCT ADV ADJ PUNCT PRON NOUN SCONJ PRON AUX VERB NUM NUM NOUN PART VERB VERB DET VERB NOUN ADP NUM NUM NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN ADJ PROPN NUM PUNCT
104,PRON VERB DET NOUN DET NOUN AUX ADV VERB NOUN ADP VERB DET NOUN NOUN PRON AUX AUX ADP DET NOUN PUNCT PUNCT SCONJ PROPN AUX DET NOUN PUNCT PUNCT
105,PRON VERB DET NOUN PART VERB ADP NOUN NOUN PUNCT NOUN CCONJ ADJ ADJ NOUN ADP NOUN VERB ADP NUM NOUN CCONJ ADJ PUNCT
106,DET NOUN PUNCT PRON PROPN VERB PRON VERB ADV PUNCT AUX VERB NOUN PUNCT NOUN NOUN PUNCT NOUN NOUN CCONJ ADJ NOUN PART VERB ADJ NOUN ADP DET NOUN NOUN PUNCT
107,DET ADJ NOUN AUX PART AUX VERB ADV SCONJ PRON AUX ADV ADJ PART VERB ADJ NOUN PUNCT PROPN VERB PUNCT
108,PROPN PROPN PUNCT DET PROPN NOUN VERB DET PROPN PROPN PROPN PUNCT VERB DET NOUN NOUN SCONJ PRON VERB PRON AUX VERB NOUN PART VERB PRON ADJ NOUN ADP NOUN CCONJ VERB DET NOUN ADP NOUN NOUN PUNCT
109,PUNCT PUNCT SCONJ PRON VERB NOUN ADP NOUN PUNCT PRON VERB PRON ADP DET NOUN PUNCT PUNCT PRON VERB PUNCT
110,PUNCT PUNCT PRON VERB ADP ADP NOUN ADJ NOUN ADP NOUN PUNCT PUNCT
111,PROPN PROPN PROPN PROPN ADP PROPN PUNCT NOUN ADP DET NOUN PUNCT VERB DET NOUN PART VERB PRON AUX VERB PUNCT PUNCT ADP VERB DET NOUN ADP ADP DET NOUN PART NOUN ADP NOUN PUNCT NOUN CCONJ NOUN NOUN PUNCT PUNCT
112,PRON NOUN AUX VERB ADP ADJ NOUN PUNCT VERB PROPN PROPN ADP PROPN PUNCT PROPN PROPN PROPN ADP PROPN PUNCT PROPN PROPN PROPN ADP PROPN CCONJ PROPN PROPN ADP PROPN PUNCT
113,PROPN VERB SCONJ DET NOUN AUX PUNCT PUNCT ADV ADJ PUNCT ADV PUNCT PRON VERB PUNCT PRON AUX VERB NOUN PUNCT
114,PRON ADV VERB SCONJ PART ADJ NOUN AUX VERB ADP DET NOUN PUNCT SCONJ DET NOUN AUX VERB ADV ADJ PROPN PUNCT
115,PROPN PUNCT PROPN
116,PUNCT NOUN ADV VERB PROPN DET NOUN ADP PROPN PROPN PROPN ADP PROPN VERB NOUN ADP NOUN NOUN ADP DET NOUN ADP PROPN CCONJ DET NUM ADJ ADJ NOUN PUNCT
117,DET NOUN AUX VERB PART VERB ADJ NOUN ADP ADJ ADJ NOUN ADP DET ADJ NOUN ADP DET VERB NOUN ADP DET NOUN PUNCT
118,PRON VERB DET NOUN SCONJ DET PROPN VERB DET NOUN ADP ADP DET PROPN PUNCT
119,PRON AUX VERB DET PROPN PROPN PROPN PART VERB NOUN PUNCT ADJ NOUN NOUN ADP DET NOUN ADP NOUN ADP NUM CCONJ ADJ NOUN PUNCT VERB ADJ NOUN ADP NUM CCONJ NUM NOUN ADP NOUN PART VERB DET NOUN NOUN PUNCT VERB ADJ NOUN PART VERB DET ADJ PROPN PROPN ADP DET PROPN ADV PUNCT
120,VERB NOUN ADP DET NOUN NOUN ADP DET NUM NOUN ADP PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PROPN AUX AUX SYM NUM PUNCT PRON AUX AUX DET NOUN ADP SYM NUM ADV SCONJ DET ADJ NOUN PART NOUN NOUN ADP SYM NUM AUX VERB PUNCT PROPN VERB DET PROPN PUNCT
121,DET PROPN VERB PRON AUX AUX NUM NOUN PART VERB DET NOUN NOUN ADP PROPN PROPN PUNCT VERB PRON ADP VERB ADP PROPN PART VERB ADP DET NOUN ADJ NOUN PUNCT
122,PROPN AUX VERB PART VERB DET NOUN ADP NOUN NOUN NOUN ADV ADP PROPN PROPN PROPN PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PROPN PUNCT
123,SCONJ NOUN AUX ADV PART AUX VERB ADP PUNCT PROPN VERB PRON VERB PART VERB NOUN NOUN ADP PROPN SCONJ PRON VERB PROPN PART VERB ADJ NOUN AUX AUX VERB PUNCT
124,PUNCT PUNCT PRON AUX VERB ADJ PUNCT ADJ PUNCT NOUN ADP PUNCT X PUNCT ADP NOUN NOUN VERB PUNCT PUNCT VERB PROPN PUNCT
125,PUNCT PUNCT CCONJ PRON VERB SCONJ NOUN AUX ADV VERB ADP DET NOUN PUNCT ADJ ADP PRON AUX VERB PRON ADV PUNCT
126,PRON AUX ADJ PART VERB PRON ADJ NOUN ADP PRON PUNCT PUNCT
127,PROPN PROPN PUNCT DET NOUN NOUN NOUN ADP PROPN PROPN PUNCT AUX VERB ADP PRON NOUN ADP VERB ADP DET NOUN PUNCT
128,DET PROPN NOUN PRON VERB PRON ADJ NOUN NOUN AUX VERB PART VERB PRON DET ADJ NOUN PUNCT SCONJ DET NOUN VERB ADJ NOUN ADV PUNCT
129,DET NOUN VERB ADV PUNCT CCONJ VERB ADP DET PROPN PUNCT DET NOUN VERB DET PROPN PROPN PROPN PART NOUN PART VERB NOUN NOUN ADP NOUN PUNCT
130,DET PROPN ADV VERB ADP PRON ADJ NOUN ADP PROPN NOUN VERB ADP NOUN PUNCT VERB DET NUM ADP DET NOUN PUNCT
131,NUM VERB NOUN ADP NOUN NOUN PUNCT
132,DET ADJ NOUN ADP DET PROPN PROPN PROPN PUNCT
133,DET ADJ VERB DET VERB NOUN ADP NOUN ADP DET PROPN NOUN PROPN PROPN PUNCT ADP PRON DET ADJ ADJ NOUN ADV AUX VERB PUNCT
134,ADP NOUN PUNCT NOUN VERB DET NOUN ADP PROPN PROPN PROPN PROPN ADP PROPN VERB NOUN ADP DET NOUN ADP DET NOUN ADP DET ADV ADJ ADP DET PROPN PROPN NOUN PUNCT
135,NOUN ADP PRON NOUN AUX AUX VERB ADV ADV CCONJ ADP DET NOUN DET PROPN PROPN NOUN AUX VERB NOUN CCONJ NOUN ADP DET NOUN PUNCT
136,NUM NOUN NOUN NOUN AUX VERB PUNCT
137,NUM PUNCT ADP PROPN PROPN PROPN ADP PROPN PROPN PUNCT AUX VERB ADJ ADP NUM NOUN PRON VERB DET NOUN ADP ADJ NOUN NOUN ADP VERB DET NOUN SCONJ DET NOUN AUX ADJ PUNCT
138,ADV PUNCT NOUN AUX VERB DET NOUN ADP NOUN PUNCT NOUN ADP PRON AUX VERB DET NOUN ADP NUM PART NUM NOUN ADP NOUN PUNCT CCONJ DET SYM NUM NOUN PUNCT
139,PRON AUX NUM ADP DET NOUN ADP NOUN ADP DET PROPN PROPN PROPN PUNCT
140,DET ADJ NOUN PUNCT ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN PUNCT AUX VERB ADJ NOUN NOUN PUNCT PRON VERB PRON ADJ ADJ NOUN NOUN PUNCT ADP DET SYM NUM ADJ NOUN NOUN ADP NOUN ADP ADJ ADP NOUN CCONJ NOUN PUNCT
141,ADJ NOUN ADJ NOUN NOUN AUX AUX VERB DET NOUN ADP ADJ NOUN PUNCT ADP DET NOUN ADP PROPN PROPN PROPN NUM PUNCT ADP PROPN PROPN PUNCT PART VERB NOUN ADP ADJ NOUN NOUN ADP NOUN PUNCT
142,PROPN PROPN ADP PROPN PUNCT ADJ NOUN ADP DET PROPN PROPN PROPN PUNCT VERB DET NOUN PART VERB ADP NOUN ADJ NOUN ADP DET PROPN CCONJ PROPN PUNCT VERB DET NOUN ADP ADJ ADJ NOUN PUNCT
143,ADP PROPN PART NOUN PUNCT DET NOUN AUX AUX VERB ADP DET NOUN VERB ADP DET NOUN PUNCT NOUN NOUN PUNCT NOUN ADP DET PROPN PUNCT NOUN NOUN CCONJ ADJ NOUN ADP DET PROPN PROPN PROPN PUNCT
144,PROPN PUNCT PROPN
145,PUNCT NOUN NOUN VERB PROPN ADP VERB DET NOUN ADP DET NOUN ADP NOUN PROPN AUX VERB PART VERB PUNCT
146,DET ADJ NOUN ADP NUM PART NUM VERB ADP DET PROPN PROPN PROPN DET NOUN PRON AUX VERB DET NOUN ADP DET PROPN NUM NOUN PUNCT SCONJ PROPN VERB ADP DET PROPN NOUN PUNCT
147,PROPN PROPN PROPN ADP PROPN PUNCT NOUN ADP DET ADJ NOUN PUNCT VERB SCONJ ADJ NOUN ADP DET NOUN AUX VERB DET NOUN PUNCT
148,DET PROPN PROPN VERB SCONJ PRON AUX ADV VERB PROPN PROPN PROPN ADP DET NOUN PART VERB PRON ADP ADJ NOUN ADP PROPN NUM PUNCT
149,DET NOUN AUX VERB PART VERB ADJ ADJ NOUN PUNCT ADP NUM PUNCT NOUN NOUN PUNCT ADP PROPN NUM PART AUX VERB ADP DET PROPN NUM NOUN PUNCT PROPN VERB PUNCT
150,NOUN ADV VERB SCONJ DET NOUN AUX PART VERB ADJ NOUN ADP NOUN NOUN SCONJ DET NOUN PART VERB DET ADJ NOUN PUNCT
151,DET PROPN NOUN VERB ADP PROPN PUNCT SCONJ PROPN PROPN PROPN PUNCT PRON AUX ADJ PUNCT
152,PROPN PUNCT PROPN
153,PUNCT PROPN VERB ADP DET VERB NOUN NOUN ADP PROPN PART ADJ NOUN PROPN PUNCT
154,PROPN PROPN PROPN ADP PROPN VERB SCONJ DET NOUN NOUN NOUN VERB ADP DET PROPN PROPN ADP PROPN AUX DET NOUN ADP ADJ NOUN ADP PROPN CCONJ PROPN PROPN PART VERB ADP NOUN ADP PROPN PUNCT DET PROPN PROPN NOUN ADP NUM NOUN PUNCT
155,SCONJ DET NOUN VERB PUNCT DET NOUN VERB PUNCT NUM ADP NUM PUNCT VERB PRON ADP DET PROPN PUNCT SCONJ DET ADJ NOUN AUX AUX VERB ADP PROPN PROPN PROPN ADP PROPN PUNCT
